Model Name,Dataset,Abstract count,Count entities extracted,Count annotations,Count common elements,Recall,Precision,F1 Score,Fuzzy Match Applied?,Character Difference,Data section,ID
en_core_sci_lg,CHEMDNER,1000,63108,8034,4268,0.531242221,0.067630094,0.119985381,no,0,development.abstracts,en_core_sci_lg_development.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63108,8034,6600,0.821508588,0.10458262,0.185544404,yes,10,development.abstracts,en_core_sci_lg_development.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,61209,8252,4276,0.518177412,0.069859008,0.123119448,no,0,evaluation.abstracts,en_core_sci_lg_evaluation.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,61209,8252,6830,0.827678139,0.111584898,0.196657117,yes,10,evaluation.abstracts,en_core_sci_lg_evaluation.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63638,8502,4469,0.525641026,0.070225337,0.123897976,no,0,training.abstracts,en_core_sci_lg_training.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63638,8502,6945,0.81686662,0.109132908,0.192542279,yes,10,training.abstracts,en_core_sci_lg_training.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62395,8034,4244,0.528254917,0.068018271,0.120518536,no,0,development.abstracts,en_core_sci_md_development.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62395,8034,6545,0.814662684,0.104896226,0.185860938,yes,10,development.abstracts,en_core_sci_md_development.abstracts_1000
en_core_sci_md,CHEMDNER,1000,60401,8252,4297,0.520722249,0.071141206,0.125180254,no,0,evaluation.abstracts,en_core_sci_md_evaluation.abstracts_1000
en_core_sci_md,CHEMDNER,1000,60401,8252,6828,0.827435773,0.113044486,0.198913376,yes,10,evaluation.abstracts,en_core_sci_md_evaluation.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62990,8502,4521,0.531757234,0.071773297,0.12647569,no,0,training.abstracts,en_core_sci_md_training.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62990,8502,6989,0.822041873,0.11095412,0.19551838,yes,10,training.abstracts,en_core_sci_md_training.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,70242,8034,4,0.000497884,5.69E-05,0.000102202,no,0,development.abstracts,en_core_sci_scibert_development.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,70242,8034,5445,0.677744586,0.077517724,0.139123103,yes,10,development.abstracts,en_core_sci_scibert_development.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,69016,8252,4,0.000484731,5.80E-05,0.000103536,no,0,evaluation.abstracts,en_core_sci_scibert_evaluation.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,69016,8252,5696,0.690256907,0.082531587,0.147434902,yes,10,evaluation.abstracts,en_core_sci_scibert_evaluation.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,70489,8502,10,0.001176194,0.000141866,0.000253193,no,0,training.abstracts,en_core_sci_scibert_training.abstracts_1000
en_core_sci_scibert,CHEMDNER,1000,70489,8502,5911,0.695248177,0.083857056,0.14966262,yes,10,training.abstracts,en_core_sci_scibert_training.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,63420,8034,6600,0.821508588,0.104068117,0.184734235,yes,10,development.abstracts,en_core_sci_sm_development.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,63420,8034,4168,0.518795121,0.065720593,0.116662468,no,0,development.abstracts,en_core_sci_sm_development.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,61393,8252,4190,0.507755696,0.068248823,0.120324503,no,0,evaluation.abstracts,en_core_sci_sm_evaluation.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,61393,8252,6806,0.824769753,0.110859544,0.195448345,yes,10,evaluation.abstracts,en_core_sci_sm_evaluation.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,63908,8502,4360,0.512820513,0.068223071,0.120425356,no,0,training.abstracts,en_core_sci_sm_training.abstracts_1000
en_core_sci_sm,CHEMDNER,1000,63908,8502,6982,0.821218537,0.109250798,0.192846292,yes,10,training.abstracts,en_core_sci_sm_training.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8508,8034,4014,0.499626587,0.471791255,0.48531012,no,0,development.abstracts,en_ner_bc5cdr_md_development.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8508,8034,4376,0.544685088,0.514339445,0.5290775,yes,10,development.abstracts,en_ner_bc5cdr_md_development.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8017,8252,3949,0.478550654,0.492578271,0.485463151,no,0,evaluation.abstracts,en_ner_bc5cdr_md_evaluation.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8017,8252,4331,0.524842462,0.540227018,0.532423628,yes,10,evaluation.abstracts,en_ner_bc5cdr_md_evaluation.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8768,8502,4183,0.492001882,0.47707573,0.484423856,no,0,training.abstracts,en_ner_bc5cdr_md_training.abstracts_1000
en_ner_bc5cdr_md,CHEMDNER,1000,8768,8502,4637,0.545401082,0.528854927,0.537000579,yes,10,training.abstracts,en_ner_bc5cdr_md_training.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,17987,8034,3669,0.456684093,0.203980653,0.282002998,no,0,development.abstracts,en_ner_bionlp13cg_md_development.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,17987,8034,4426,0.550908638,0.246066604,0.340186772,yes,10,development.abstracts,en_ner_bionlp13cg_md_development.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,16507,8252,3661,0.443650024,0.221784697,0.295730845,no,0,evaluation.abstracts,en_ner_bionlp13cg_md_evaluation.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,16507,8252,4485,0.543504605,0.271702914,0.3622925,yes,10,evaluation.abstracts,en_ner_bionlp13cg_md_evaluation.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,18222,8502,3891,0.457657022,0.213533092,0.291198922,no,0,training.abstracts,en_ner_bionlp13cg_md_training.abstracts_1000
en_ner_bionlp13cg_md,CHEMDNER,1000,18222,8502,4779,0.562103035,0.262265393,0.35765604,yes,10,training.abstracts,en_ner_bionlp13cg_md_training.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,14127,8034,2358,0.293502614,0.166914419,0.212806281,no,0,development.abstracts,en_ner_craft_md_development.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,14127,8034,2959,0.368309684,0.209457068,0.267045711,yes,10,development.abstracts,en_ner_craft_md_development.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,13226,8252,2266,0.274600097,0.1713292,0.211006611,no,0,evaluation.abstracts,en_ner_craft_md_evaluation.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,13226,8252,2994,0.362821134,0.226372297,0.278796908,yes,10,evaluation.abstracts,en_ner_craft_md_evaluation.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,14075,8502,2612,0.30722183,0.185577265,0.231385924,no,0,training.abstracts,en_ner_craft_md_training.abstracts_1000
en_ner_craft_md,CHEMDNER,1000,14075,8502,3322,0.390731593,0.236021314,0.294281791,yes,10,training.abstracts,en_ner_craft_md_training.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6641,8034,293,0.036470002,0.044119861,0.039931857,no,0,development.abstracts,en_ner_jnlpba_md_development.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6641,8034,553,0.068832462,0.083270592,0.075366269,yes,10,development.abstracts,en_ner_jnlpba_md_development.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6420,8252,274,0.033204072,0.042679128,0.037350055,no,0,evaluation.abstracts,en_ner_jnlpba_md_evaluation.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6420,8252,643,0.077920504,0.100155763,0.087649945,yes,10,evaluation.abstracts,en_ner_jnlpba_md_evaluation.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6724,8502,311,0.036579628,0.046252231,0.040851176,no,0,training.abstracts,en_ner_jnlpba_md_training.abstracts_1000
en_ner_jnlpba_md,CHEMDNER,1000,6724,8502,611,0.071865443,0.090868531,0.080257454,yes,10,training.abstracts,en_ner_jnlpba_md_training.abstracts_1000
